"Ign","Team","Acs","Matches"
"T3xture","DAMWON Gaming",266,22
"allow","NUTURN Gaming",261,16
"BuZz","Vision Strikers",250,18
"Meteor","TNL Esports",246,18
"Bunny","F4Q",237,19
"FiveK","F4Q",237,19
"iNTRO","DAMWON Gaming",236,22
"Hate","TNL Esports",233,18
"k1Ng","Vision Strikers",232,16
"MaKo","Vision Strikers",226,18
"Suggest","NUTURN Gaming",225,16
"zunba","F4Q",224,19
"Lakia","Vision Strikers",224,6
"Esperanza","F4Q",223,19
"solo","NUTURN Gaming",221,16
"Exy","TNL Esports",221,18
"Rb","Vision Strikers",218,14
"TS","TNL Esports",205,18
"eKo","TNL Esports",204,18
"stax","Vision Strikers",201,18
"Eugene","DAMWON Gaming",194,22
"10X","NUTURN Gaming",193,16
"Secret","DAMWON Gaming",188,22
"Efina","F4Q",179,19
"Jeong Hi","DAMWON Gaming",179,22
"peri","NUTURN Gaming",178,16