"Ign","Team","Damage"
"T3xture","DAMWON Gaming","72693"
"iNTRO","DAMWON Gaming","67196"
"FiveK","F4Q","60384"
"Secret","DAMWON Gaming","58618"
"Bunny","F4Q","58138"
"Eugene","DAMWON Gaming","57691"
"Esperanza","F4Q","57250"
"zunba","F4Q","54823"
"Jeong Hi","DAMWON Gaming","52683"
"allow","NUTURN Gaming","51983"
"Meteor","TNL Esports","51799"
"Hate","TNL Esports","50706"
"Exy","TNL Esports","50353"
"BuZz","Vision Strikers","48842"
"solo","NUTURN Gaming","47413"
"Efina","F4Q","47107"
"Suggest","NUTURN Gaming","47046"
"MaKo","Vision Strikers","46791"
"TS","TNL Esports","44891"
"k1Ng","Vision Strikers","44560"
"eKo","TNL Esports","44455"
"stax","Vision Strikers","42477"
"10X","NUTURN Gaming","41716"
"peri","NUTURN Gaming","40200"
"Rb","Vision Strikers","34128"
"Lakia","Vision Strikers","16496"