"Ign","Team","Headshots"
"iNTRO","DAMWON Gaming","355"
"T3xture","DAMWON Gaming","294"
"Eugene","DAMWON Gaming","273"
"Hate","TNL Esports","269"
"k1Ng","Vision Strikers","253"
"Esperanza","F4Q","252"
"zunba","F4Q","251"
"Suggest","NUTURN Gaming","241"
"MaKo","Vision Strikers","234"
"Exy","TNL Esports","234"
"solo","NUTURN Gaming","224"
"stax","Vision Strikers","220"
"Efina","F4Q","220"
"FiveK","F4Q","218"
"Secret","DAMWON Gaming","214"
"Bunny","F4Q","210"
"Jeong Hi","DAMWON Gaming","208"
"10X","NUTURN Gaming","195"
"BuZz","Vision Strikers","188"
"Meteor","TNL Esports","187"
"TS","TNL Esports","186"
"allow","NUTURN Gaming","172"
"eKo","TNL Esports","168"
"Rb","Vision Strikers","150"
"peri","NUTURN Gaming","147"
"Lakia","Vision Strikers","79"