"Ign","Team","Kills","Deaths","Assists","Kd"
"MaKo","Vision Strikers",271,172,115,"1.58"
"k1Ng","Vision Strikers",250,162,49,"1.54"
"Rb","Vision Strikers",200,134,72,"1.49"
"stax","Vision Strikers",252,170,101,"1.48"
"Lakia","Vision Strikers",91,62,29,"1.47"
"Hate","TNL Esports",295,211,77,"1.40"
"allow","NUTURN Gaming",305,221,60,"1.38"
"BuZz","Vision Strikers",287,208,74,"1.38"
"Esperanza","F4Q",324,235,106,"1.38"
"Bunny","F4Q",315,230,116,"1.37"
"iNTRO","DAMWON Gaming",396,294,107,"1.35"
"Suggest","NUTURN Gaming",268,199,54,"1.35"
"T3xture","DAMWON Gaming",433,325,94,"1.33"
"FiveK","F4Q",332,254,79,"1.31"
"zunba","F4Q",321,246,130,"1.30"
"eKo","TNL Esports",258,200,128,"1.29"
"peri","NUTURN Gaming",218,169,113,"1.29"
"Exy","TNL Esports",284,223,76,"1.27"
"TS","TNL Esports",261,205,164,"1.27"
"Meteor","TNL Esports",296,241,87,"1.23"
"solo","NUTURN Gaming",260,220,78,"1.18"
"Efina","F4Q",248,226,83,"1.10"
"Eugene","DAMWON Gaming",315,300,145,"1.05"
"Jeong Hi","DAMWON Gaming",296,282,179,"1.05"
"10X","NUTURN Gaming",215,213,98,"1.01"
"Secret","DAMWON Gaming",283,299,119,"0.95"