"Ign","Team","Multikills"
"T3xture","DAMWON Gaming",121
"iNTRO","DAMWON Gaming",107
"FiveK","F4Q",95
"zunba","F4Q",92
"Esperanza","F4Q",84
"allow","NUTURN Gaming",83
"Bunny","F4Q",83
"Meteor","TNL Esports",79
"Hate","TNL Esports",78
"BuZz","Vision Strikers",70
"MaKo","Vision Strikers",69
"Exy","TNL Esports",69
"Eugene","DAMWON Gaming",69
"Suggest","NUTURN Gaming",68
"stax","Vision Strikers",68
"Jeong Hi","DAMWON Gaming",68
"solo","NUTURN Gaming",66
"Secret","DAMWON Gaming",65
"eKo","TNL Esports",65
"TS","TNL Esports",63
"Rb","Vision Strikers",55
"k1Ng","Vision Strikers",53
"Efina","F4Q",52
"peri","NUTURN Gaming",50
"10X","NUTURN Gaming",46
"Lakia","Vision Strikers",20